target_id,target,pos,gold_score,label,final_score,lexical,semantic,mlm,substitute,rerank
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.43052148818969727,NOUN,0.0,0,1.763782512913492,0.25,0.9951375722885132,0.09529386051207764,0.11091570556163788,0.7653516530990601
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.18774199485778809,NOUN,0.1,0,0.038313944360780734,0.25,0.9433149695396423,0.09857404668132244,0.11091567575931549,0.7643149495124817
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.3,0,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.6,1,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.34179553389549255,NOUN,0.0,0,1.748619862456327,0.25,0.9933158159255981,0.0988372454713012,0.11091572046279907,0.7606590986251831
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.3676983714103699,NOUN,0.5,1,1.8070313186641775,0.25,0.9943622350692749,0.1714415999990844,0.1109156459569931,0.7704938054084778
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.8,1,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.48509687185287476,NOUN,0.0,0,1.8140411382617785,0.25,0.9872034788131714,0.13362167697513663,0.11091569066047668,0.7655325531959534
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.5310441255569458,NOUN,0.6,1,1.8540154421014508,0.25,0.9827513694763184,0.21274604396615504,0.11091569066047668,0.7614787220954895
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,1.0,NOUN,0.1,0,1.8103750079847596,1.0,0.9877464175224304,0.11026843923261252,0.11091572791337967,0.7626500129699707
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.40894392132759094,NOUN,0.3,0,1.8033813386500102,0.25,0.9942734241485596,0.14581550606654922,0.11091569066047668,0.7694218754768372
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.3103116750717163,NOUN,0.0,0,0.030898070845134417,0.25,0.989113450050354,0.088990058532289,0.11091576516628265,0.7585753202438354
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.32483696937561035,NOUN,0.0,0,0.0,0.25,0.8917125463485718,0.0,0.11091591417789459,0.7325024604797363
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.4,0,1.0,0.0,0.0,0.0,0.0,0.0
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.2857644259929657,NOUN,0.1,0,1.7898674368336875,0.25,0.9695545434951782,0.21810429829846256,0.11091569066047668,0.7556450963020325
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.10716991126537323,NOUN,0.0,0,1.744153576527982,0.25,0.9664609432220459,0.13640858519555715,0.11091563105583191,0.7653269171714783
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.41200023889541626,NOUN,0.5,1,1.8493329480342213,0.25,0.983573853969574,0.23540890492841146,0.11091573536396027,0.7631726861000061
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.2650839686393738,NOUN,0.6,1,1.8451563043092793,0.25,0.9802243709564209,0.2890648238431284,0.11091569066047668,0.7639350891113281
t:7f1d26dea59df9f9cbf34e416ff89ede8e0f9aea,0.0,NOUN,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
